palabra,n
hacerse,5
funcionario,5
fueren,5
fines,5
financiar,5
fijen,5
fijar,5
extranjeros,5
extranjero,5
existirá,5
establecida,5
entrar,5
elegir,5
ejército,5
efectuarán,5
efectuar,5
efectiva,5
distritos,5
disponga,5
dichos,5
devolverá,5
destinados,5
designación,5
deberes,5
cumplido,5
cuenta,5
cuarenta,5
crear,5
corresponde,5
copia,5
convocará,5
convenientes,5
contratos,5
comunal,5
comportamiento,5
completar,5
competencias,5
comandantes,5
circunstancias,5
catástrofe,5
capital,5
candidaturas,5
candidato,5
beneficios,5
autónomo,5
autonomía,5
auto,5
asociaciones,5
armada,5
aquél,5
apruebe,5
aprobadas,5
aflictiva,5
afecten,5
aérea,5
adoptado,5
adjuntos,5
acciones,5
acceso,5
abogados,5
vi,4
vacante,4
unidades,4
única,4
tropas,4
transitorias,4
totalmente,4
titular,4
sujeto,4
sorteo,4
simple,4
sexto,4
seguirán,4
rigen,4
retiros,4
responsables,4
residir,4
reside,4
requiere,4
representación,4
rentas,4
relativo,4
reglamentaria,4
regirán,4
referidos,4
referido,4
reemplazo,4
reducir,4
reconoce,4
reclamo,4
rechazo,4
rechazare,4
recepción,4
razón,4
quinas,4
quina,4
puesto,4
pudiendo,4
proteger,4
promover,4
producirá,4
procedente,4
privadas,4
principio,4
primer,4
previstos,4
presupuesto,4
preso,4
preferencia,4
potestad,4
posteriormente,4
políticas,4
policía,4
plebiscitos,4
plebiscitarios,4
plantas,4
petición,4
pertinente,4
perdiere,4
pensiones,4
pasará,4
partir,4
partido,4
organismo,4
ordinarios,4
órdenes,4
operaciones,4
oficiales,4
octubre,4
octava,4
obligado,4
obligación,4
ó,4
numeral,4
nueve,4
nómina,4
niveles,4
negociación,4
necesarios,4
necesario,4
naturales,4
natural,4
movimientos,4
modificar,4
mérito,4
mensaje,4
menor,4
medios,4
mantener,4
mantendrán,4
manera,4
mal,4
magistratura,4
libertades,4
letras,4
letrados,4
jurídico,4
jurado,4
juicio,4
ix,4
intervención,4
intermedios,4
instrucciones,4
inconstitucional,4
incompatibles,4
incompatible,4
inaplicabilidad,4
impugnado,4
importancia,4
imperio,4
honor,4
gremial,4
gracia,4
garantizar,4
garantía,4
fundada,4
fiscalizar,4
fiscalización,4
firme,4
financiera,4
fije,4
fijará,4
favorable,4
favor,4
familia,4
extinción,4
existentes,4
exija,4
exento,4
exceptúan,4
excedan,4
éstas,4
establezcan,4
establecimiento,4
equivalente,4
entenderán,4
empréstitos,4
empleados,4
ejerza,4
ejercido,4
económica,4
discriminación,4
dirigentes,4
directamente,4
diferentes,4
dictar,4
dictación,4
determinada,4
desempeño,4
desempeñe,4
desarrollar,4
derogadas,4
denuncia,4
denominación,4
delegación,4
definitivo,4
decretar,4
deban,4
curso,4
cumplidos,4
cumplan,4
cultural,4
cuerpos,4
correspondiere,4
correspondan,4
convocar,4
convocada,4
contratar,4
contratación,4
contrario,4
continuarán,4
continuará,4
contendrá,4
contempladas,4
contar,4
considerarán,4
consideración,4
conjunto,4
confiere,4
conductas,4
concluido,4
concejal,4
comunicará,4
comunicada,4
común,4
colectiva,4
civiles,4
civil,4
circunscripciones,4
celebrar,4
causas,4
cargas,4
califique,4
calificar,4
beneficio,4
básicas,4
básica,4
autoriza,4
autoricen,4
ausentarse,4
aun,4
asumir,4
aplicarán,4
ambiente,4
alzada,4
alcaldes,4
afectar,4
adiciones,4
acusaciones,4
acordado,4
zona,3
volverá,3
víctimas,3
vicio,3
verificará,3
veintiún,3
veinte,3
vecinal,3
vacantes,3
utilidad,3
usted,3
unidas,3
trigésima,3
trámites,3
tramitará,3
tramitado,3
textos,3
terroristas,3
terrorista,3
terceros,3
tercera,3
técnico,3
tampoco,3
sustancias,3
suspendido,3
suspenderá,3
suspender,3
suprimido,3
sugerir,3
subsecretarios,3
subrogación,3
situaciones,3
sindical,3
similar,3
septiembre,3
señaladas,3
roma,3
reúnan,3
restablecer,3
respetar,3
reservas,3
requisiciones,3
requerida,3
renovarán,3
remover,3
remisión,3
religiosas,3
relacionadas,3
regular,3
reemplazó,3
reemplazada,3
realización,3
rayas,3
quintos,3
quinta,3
pueblo,3
publicidad,3
publicado,3
próxima,3
provincia,3
propuesto,3
proporción,3
pronuncie,3
pronunciare,3
promulgue,3
promulgará,3
promulgada,3
promoción,3
prohibición,3
profesión,3
produzca,3
producción,3
privados,3
privada,3
privación,3
prisión,3
primitivo,3
primarias,3
previsto,3
presidio,3
presentar,3
pregunta,3
preferente,3
precedentemente,3
precedencia,3
posterior,3
plebiscitaria,3
pertinentes,3
personalmente,3
perpetuo,3
permitan,3
permanecer,3
perjuicios,3
perdido,3
participar,3
palabra,3
pago,3
pacto,3
otorguen,3
ordinario,3
oportunidades,3
ocupar,3
obtenido,3
obtengan,3
obtener,3
obras,3
obligatorias,3
nulos,3
nuevas,3
necesitará,3
necesidades,3
necesaria,3
naciones,3
municipales,3
motivo,3
montepíos,3
modifiquen,3
mismas,3
mineros,3
miembro,3
mes,3
mencionados,3
mencionadas,3
marzo,3
marcar,3
mar,3
malversación,3
luego,3
locomoción,3
literal,3
lista,3
letrado,3
legislación,3
legalmente,3
lado,3
juzgado,3
jurídicas,3
juramento,3
iv,3
investigadoras,3
introducidas,3
intervenir,3
interponerse,3
intendente,3
integrar,3
integran,3
institucionalidad,3
insistieren,3
inscripciones,3
inmediata,3
inhabilite,3
ingresos,3
infringido,3
informe,3
informaciones,3
indulto,3
indirectos,3
indicada,3
independientes,3
independencia,3
incorporación,3
incluyendo,3
incapacidad,3
iguales,3
idoneidad,3
horizontales,3
hará,3
hallarse,3
hallare,3
hacerlo,3
grupo,3
gremiales,3
gratuito,3
gratuitamente,3
grado,3
gozarán,3
gozar,3
gestiones,3
gestión,3
garantiza,3
fundamentos,3
fundamentales,3
fundadamente,3
fuentes,3
frase,3
formarán,3
formará,3
formalidades,3
fondo,3
firma,3
financiamiento,3
finalidad,3
fijado,3
fallo,3
extranjeras,3
exteriores,3
exprese,3
explotación,3
exploración,3
expiración,3
estime,3
estimación,3
establecimientos,3
establecerán,3
específicos,3
esencialmente,3
escrutinio,3
escrito,3
entrará,3
enfermedad,3
encomiende,3
emblemas,3
elector,3
elaborar,3
ejercerán,3
ejecutar,3
efectuarse,3
efectuará,3
educacionales,3
económico,3
duración,3
documentos,3
docentes,3
división,3
diversas,3
distribución,3
dispondrá,3
directos,3
digan,3
dictado,3
destinado,3
desempeñen,3
desempeñado,3
desechado,3
dependientes,3
dependencia,3
dependan,3
dejar,3
declarará,3
décimo,3
debates,3
datos,3
darán,3
cuyos,3
culpable,3
créditos,3
creados,3
creaciones,3
creación,3
crea,3
convenios,3
conveniente,3
contribuir,3
contravengan,3
contiendas,3
contenido,3
contenidas,3
constituidos,3
constancia,3
conmoción,3
condena,3
concurso,3
conciencia,3
conceder,3
comuna,3
comprometido,3
composición,3
compatibles,3
ciudad,3
circunstancia,3
cinematográfica,3
cesen,3
cesar,3
celebrarse,3
cédula,3
capítulos,3
caducidad,3
bien,3
autorice,3
ausencia,3
aumentar,3
atribuirse,3
atribución,3
atender,3
asuman,3
asociarse,3
asistir,3
asignaciones,3
asegura,3
ascensos,3
aquéllos,3
aprobados,3
aportes,3
apelarse,3
anualmente,3
antiguo,3
amparo,3
ambos,3
ámbito,3
alternativas,3
alterar,3
alteración,3
alcance,3
agente,3
afiliación,3
adquirir,3
adopte,3
adopción,3
admisibilidad,3
adecuado,3
actúe,3
acordar,3
acoja,3
abril,3
yacimientos,2
votar,2
voluntaria,2
vivir,2
vinculadas,2
versen,2
vencimiento,2
vencido,2
veces,2
universitaria,2
universidades,2
última,2
ulterior,2
tributarias,2
trasladarse,2
transmitirán,2
transición,2
transferencia,2
transcurridos,2
traición,2
tomará,2
toma,2
tipo,2
tierra,2
testigos,2
terrorismo,2
territorialmente,2
territorial,2
temporal,2
templos,2
sustituidos,2
sustituida,2
sustitución,2
sustancial,2
suprimir,2
supresión,2
suplentes,2
superintendencia,2
superficiales,2
sumariamente,2
sumaria,2
sujetos,2
sufrido,2
sufra,2
sometido,2
sometidas,2
someterá,2
someta,2
solidaria,2
solicitud,2
solicite,2
solicitada,2
solicita,2
sola,2
sociales,2
situados,2
sirvan,2
sindicales,2
signifique,2
siga,2
sexta,2
sesionar,2
séptimas,2
séptima,2
señalen,2
señala,2
sentencias,2
senatoriales,2
sede,2
secreto,2
secretarios,2
satisfacer,2
sancionados,2
salubridad,2
salir,2
salida,2
salas,2
rigiéndose,2
rige,2
retribuidos,2
retribución,2
resulten,2
resulte,2
resultarán,2
resultará,2
resultado,2
resuelva,2
restricciones,2
restantes,2
restablecimiento,2
respuesta,2
responsabilidades,2
responder,2
respetando,2
residencia,2
requerido,2
republica,2
representen,2
repitiéndose,2
repartición,2
removidos,2
removido,2
remitirá,2
relativos,2
relacionen,2
relacionado,2
regularán,2
regula,2
reglamentos,2
registrar,2
regir,2
refieren,2
refieran,2
reemplazante,2
reemplazados,2
reemplace,2
redactar,2
recurrir,2
recuperarán,2
rectificar,2
reconocimiento,2
reconocida,2
reclamos,2
recibir,2
rechazado,2
rechace,2
realizarán,2
realicen,2
ratificados,2
ratificación,2
ramas,2
quede,2
punible,2
pudiere,2
prueba,2
providencias,2
provengan,2
protege,2
prorrogarlo,2
propuestos,2
proponiendo,2
propondrá,2
propia,2
propender,2
pronto,2
promulgatorio,2
promulgar,2
promulgado,2
promulga,2
promoverse,2
prohíbe,2
progresión,2
programación,2
profesiones,2
produzcan,2
produjere,2
procurador,2
proclamará,2
procesado,2
procederán,2
probidad,2
principios,2
primitivos,2
primeros,2
primeras,2
prevista,2
preventiva,2
pretenda,2
presupuestaria,2
prestar,2
préstamos,2
presidido,2
presidentes,2
presentaren,2
presentado,2
presentación,2
preguntas,2
practicar,2
posible,2
popularmente,2
poner,2
pierde,2
perturbación,2
pertenezca,2
pertenecientes,2
pertenecer,2
personales,2
perpetración,2
permita,2
períodos,2
periódicas,2
perfeccionamiento,2
pérdida,2
pendiente,2
penalidad,2
peligro,2
pedir,2
patria,2
pascua,2
pasajes,2
partidistas,2
particular,2
parcialidades,2
pagos,2
padres,2
otorgue,2
otorgan,2
otorgamiento,2
otorgada,2
ordene,2
ordenar,2
ordenamiento,2
opiniones,2
operación,2
opciones,2
opción,2
ofendido,2
ocurrir,2
ochenta,2
obtuvieren,2
obtuviere,2
obligatoria,2
obligados,2
obliga,2
objetos,2
numerales,2
noventa,2
normalidad,2
normal,2
ninguno,2
negociar,2
negociaciones,2
negligencia,2
nacidos,2
municipios,2
municipalidad,2
motiven,2
motivaron,2
monopolio,2
moción,2
mitad,2
mismos,2
mineras,2
minera,2
minas,2
militares,2
militar,2
militantes,2
méritos,2
mensuales,2
mención,2
máximo,2
matrices,2
material,2
mantenerse,2
manifiesta,2
mando,2
lucro,2
localidades,2
llevará,2
llenarán,2
línea,2
limitación,2
libremente,2
legislador,2
lapso,2
labor,2
juzgue,2
justa,2
jurisdiccionales,2
judicatura,2
jubilaciones,2
juan,2
isla,2
introducirle,2
introducida,2
intervengan,2
interpreten,2
interpretativas,2
interposición,2
intendentes,2
intelectuales,2
integridad,2
integren,2
integrante,2
institucional,2
institución,2
instalará,2
insistencia,2
inscritas,2
inocencia,2
injustamente,2
iniciativas,2
iniciados,2
infracciones,2
industrial,2
individual,2
indirecta,2
indicar,2
indicados,2
incurrirá,2
incumplimiento,2
incorporará,2
inconstitucionales,2
incluye,2
impongan,2
imponer,2
impedir,2
impartir,2
igualitario,2
iglesias,2
ideas,2
humanos,2
humana,2
horas,2
honorem,2
hombres,2
hogar,2
hidrocarburos,2
hacia,2
haberse,2
guarden,2
guardar,2
goce,2
geográfica,2
generación,2
garantizará,2
garantizados,2
fundarse,2
fundamento,2
fundamental,2
funcionar,2
fortalecimiento,2
formularle,2
formulado,2
formulación,2
fomento,2
fiscalizadoras,2
finanzas,2
financieras,2
figure,2
fernández,2
fechas,2
faltando,2
facultado,2
extraordinarias,2
extraños,2
externa,2
extenderse,2
expropiado,2
expropiación,2
existen,2
existe,2
exijan,2
exigir,2
exhibición,2
exceptuados,2
excepto,2
excepciones,2
ex,2
ética,2
estuvieren,2
estuviere,2
estructura,2
estimen,2
estatales,2
estatal,2
especie,2
esencial,2
esencia,2
escalafones,2
equitativo,2
entregan,2
entonces,2
entable,2
enmiendas,2
encuentre,2
encuentra,2
encomienden,2
encomienda,2
enajenación,2
empate,2
emolumentos,2
eliminado,2
elegibilidad,2
elaboración,2
ejecutivo,2
ejecutarse,2
efectuado,2
efectuada,2
económicos,2
economía,2
durar,2
domicilio,2
diversos,2
disminuir,2
disciplinarias,2
directores,2
directivos,2
directiva,2
directas,2
dignidad,2
difusión,2
dieta,2
dieren,2
dicten,2
dicte,2
dictados,2
diarios,2
determinando,2
determinado,2
determina,2
destino,2
destacado,2
despacho,2
designe,2
desenvolvimiento,2
desacuerdo,2
derogados,2
derogación,2
dependencias,2
denunciar,2
denominado,2
democrático,2
dejará,2
dejado,2
defectos,2
deducido,2
declaren,2
declarando,2
declaraciones,2
decisión,2
decimosexta,2
decimocuarta,2
décima,2
dará,2
cuyas,2
cursado,2
cumplida,2
culto,2
culpabilidad,2
criterios,2
criminales,2
criminal,2
creen,2
crédito,2
cotizaciones,2
costumbres,2
corresponderán,2
corresponden,2
correccional,2
contrarias,2
contraria,2
contenidos,2
contemplados,2
contemplado,2
contaminación,2
contabilidad,2
consulte,2
constituir,2
constituido,2
considerar,2
considerando,2
consideradas,2
conservar,2
conservación,2
consecuencia,2
conozca,2
conjuntamente,2
conflictos,2
conflicto,2
confieran,2
confianza,2
confesiones,2
conferidos,2
conducentes,2
condonar,2
condenados,2
concusión,2
concurrir,2
concurren,2
concesionarios,2
concerniente,2
concedan,2
comunicaciones,2
comunales,2
comprometer,2
comprendidas,2
comprende,2
compone,2
completo,2
colegios,2
ciudadana,2
citados,2
circunscribirá,2
chileno,2
cese,2
certificado,2
cause,2
causado,2
casa,2
cartas,2
carta,2
carrera,2
cárceles,2
candidatura,2
cancelación,2
calificados,2
calamidad,2
cabo,2
buenas,2
buen,2
breve,2
blanco,2
avecindados,2
autor,2
autónoma,2
autoacordado,2
atributos,2
atención,2
asociación,2
asistencia,2
asignación,2
asiento,2
aseguren,2
ascendientes,2
artísticas,2
arrestar,2
archipiélago,2
arbitraria,2
apruebo,2
aprueben,2
aprobare,2
apreciará,2
apreciación,2
aporte,2
aplicarse,2
aplicar,2
aparece,2
antigüedad,2
anticipación,2
anónima,2
amnistías,2
amenaza,2
alude,2
altas,2
ajenas,2
aire,2
aguas,2
agrupación,2
agregados,2
afectos,2
afectadas,2
adoptadas,2
admitirán,2
admisión,2
administrativos,2
adecuada,2
ad,2
actuar,2
actualizado,2
actuaciones,2
activos,2
actas,2
acrediten,2
acordada,2
aceptar,2
absoluto,2
abrir,2
voz,1
votada,1
volver,1
voluntario,1
voluntariedad,1
voluntad,1
visto,1
visite,1
violencia,1
vinculantes,1
vinculante,1
vinculados,1
vigilancia,1
vigésimoprimera,1
vigésimo,1
vicios,1
vetos,1
vetado,1
verifiquen,1
verifique,1
VERDADERO,1
ver,1
venza,1
venía,1
veinticuatro,1
vecinales,1
véanse,1
vayan,1
valparaíso,1
valores,1
valor,1
valer,1
utilizado,1
utilicen,1
usar,1
urgencias,1
universitario,1
unitario,1
uniformes,1
únicas,1
únicamente,1
unanimidad,1
últimos,1
últimas,1
ubicadas,1
tuviere,1
tutelar,1
trato,1
tratar,1
tratamiento,1
traspasos,1
traspaso,1
traslado,1
transmitir,1
transmisiones,1
transitorio,1
transferirá,1
transferir,1
transeúntes,1
transcurrido,1
tramitarse,1
traído,1
tráfico,1
tradición,1
trabajen,1
trabadas,1
totalitario,1
torcida,1
tope,1
tomó,1
tomando,1
tomado,1
tocante,1
tesorerías,1
terrenos,1
terminación,1
tercer,1
tenderá,1
tendencia,1
temporalmente,1
tecnológicos,1
tecnológica,1
técnicos,1
técnica,1
tareas,1
suspendidos,1
suspendidas,1
suspende,1
suscrita,1
suscripción,1
suscribieren,1
suscitarse,1
susceptibles,1
suprimirlos,1
suprimidos,1
suprimidas,1
supremos,1
supongan,1
suplencia,1
supervigilará,1
superan,1
suministrar,1
sumario,1
sujetarán,1
sufragare,1
sufragar,1
sucesor,1
sucesivas,1
sucesivamente,1
sucesión,1
sucederá,1
subsistirán,1
subsistencia,1
subsidiaria,1
subrogarán,1
subrogará,1
sorprendido,1
someterse,1
someter,1
solución,1
solidario,1
solidaridad,1
solidariamente,1
solicitudes,1
soliciten,1
solemne,1
sobreviniente,1
sobreseimiento,1
soborno,1
situado,1
situadas,1
situación,1
sindicarse,1
simultáneamente,1
similares,1
servidores,1
serio,1
separadamente,1
señalarlo,1
señalare,1
señalar,1
señalando,1
señalan,1
sentido,1
sentenciarán,1
sentenciará,1
sentenciada,1
seguirse,1
seguirá,1
seguido,1
sedición,1
sectoriales,1
sectores,1
secretas,1
secretarías,1
secreta,1
santiago,1
sanitario,1
sancionarlas,1
sancionado,1
sancionadas,1
sanciona,1
sana,1
san,1
salares,1
rigiendo,1
rica,1
revoque,1
revivir,1
revistas,1
revisión,1
revisar,1
reunirse,1
reunirá,1
reuniones,1
reunido,1
reúna,1
retroactivo,1
retrasará,1
retirarse,1
resultar,1
resultados,1
resueltas,1
resuelta,1
restrinjan,1
restringida,1
reste,1
restaba,1
responderá,1
respetuosos,1
respeten,1
respetarse,1
resolverse,1
resolverlos,1
resolverlas,1
resolutivo,1
resolutivas,1
resguardos,1
resguardo,1
resguardar,1
reservado,1
reservadas,1
requieren,1
requieran,1
requiera,1
república73,1
república266,1
república256,1
reprueba,1
reprobadas,1
representarlos,1
representará,1
representantes,1
representante,1
representados,1
representado,1
repartirse,1
reparen,1
reos,1
renunciar,1
rentados,1
renta,1
renovarse,1
renovará,1
rendimiento,1
remunerada,1
remuneración,1
remitir,1
remitiendo,1
remitido,1
reintegro,1
reincidencia,1
rehabilitados,1
regulado,1
reguladas,1
reglan,1
reglamentará,1
reglamenta,1
reglado,1
regla,1
registros,1
registrarse,1
registrará,1
registrado,1
regionalización,1
regidos,1
regida,1
refrendado,1
refrendación,1
referente,1
reemplazará,1
reemplaza,1
redistribución,1
redactada,1
recurridos,1
recuperación,1
rector,1
rectificará,1
rectificación,1
recta,1
reconocidos,1
reconocer,1
reconocen,1
reclutamiento,1
reclame,1
reclamarse,1
reclamada,1
reclama,1
recientemente,1
recibirán,1
reciba,1
rechazarlos,1
rechazar,1
rechazando,1
